box_number,user_id,home_digit,vstr_digit
1,None,5,8
2,None,7,8
3,None,4,8
4,None,9,8
5,None,1,8
6,None,0,8
7,None,2,8
8,None,8,8
9,xjcarter,3,8
10,None,6,8
11,None,5,1
12,None,7,1
13,None,4,1
14,None,9,1
15,None,1,1
16,None,0,1
17,None,2,1
18,None,8,1
19,None,3,1
20,None,6,1
21,None,5,4
22,None,7,4
23,None,4,4
24,None,9,4
25,None,1,4
26,None,0,4
27,None,2,4
28,None,8,4
29,None,3,4
30,None,6,4
31,None,5,0
32,None,7,0
33,None,4,0
34,None,9,0
35,None,1,0
36,None,0,0
37,xjcarter,2,0
38,None,8,0
39,None,3,0
40,None,6,0
41,None,5,6
42,None,7,6
43,None,4,6
44,None,9,6
45,None,1,6
46,None,0,6
47,None,2,6
48,None,8,6
49,None,3,6
50,None,6,6
51,None,5,9
52,None,7,9
53,None,4,9
54,None,9,9
55,None,1,9
56,None,0,9
57,None,2,9
58,None,8,9
59,None,3,9
60,None,6,9
61,None,5,5
62,None,7,5
63,xjcarter,4,5
64,None,9,5
65,None,1,5
66,None,0,5
67,None,2,5
68,None,8,5
69,None,3,5
70,None,6,5
71,None,5,3
72,None,7,3
73,None,4,3
74,None,9,3
75,None,1,3
76,None,0,3
77,None,2,3
78,None,8,3
79,None,3,3
80,None,6,3
81,None,5,2
82,None,7,2
83,None,4,2
84,None,9,2
85,None,1,2
86,None,0,2
87,None,2,2
88,None,8,2
89,None,3,2
90,None,6,2
91,None,5,7
92,None,7,7
93,None,4,7
94,None,9,7
95,None,1,7
96,None,0,7
97,None,2,7
98,None,8,7
99,None,3,7
100,None,6,7
