box_number,user_id,home_digit,vstr_digit
1,xjcarter,,
2,None,,
3,None,,
4,None,,
5,None,,
6,hotness1,,
7,None,,
8,None,,
9,None,,
10,None,,
11,None,,
12,None,,
13,None,,
14,hotness1,,
15,None,,
16,None,,
17,hotness1,,
18,hotness1,,
19,None,,
20,None,,
21,None,,
22,None,,
23,None,,
24,None,,
25,None,,
26,None,,
27,None,,
28,None,,
29,None,,
30,None,,
31,None,,
32,None,,
33,None,,
34,None,,
35,None,,
36,None,,
37,None,,
38,None,,
39,None,,
40,None,,
41,None,,
42,xjcarter,,
43,None,,
44,None,,
45,None,,
46,None,,
47,None,,
48,hotness1,,
49,None,,
50,None,,
51,None,,
52,None,,
53,None,,
54,None,,
55,None,,
56,None,,
57,None,,
58,None,,
59,hotness1,,
60,None,,
61,None,,
62,None,,
63,hotness1,,
64,None,,
65,None,,
66,None,,
67,None,,
68,xjcarter,,
69,None,,
70,None,,
71,None,,
72,hotness1,,
73,None,,
74,None,,
75,None,,
76,None,,
77,None,,
78,None,,
79,None,,
80,None,,
81,None,,
82,None,,
83,None,,
84,None,,
85,None,,
86,None,,
87,None,,
88,None,,
89,None,,
90,None,,
91,None,,
92,None,,
93,None,,
94,None,,
95,None,,
96,None,,
97,None,,
98,None,,
99,None,,
100,None,,
