round,game,visitor,home,v_pts,h_pts
1,1,RhodeIsd,Oklahoma,83,78
1,2,Duke,Iona,89,67
1,3,Villanova,Radford,87,61
1,4,VaTech,Alabama,83,86
1,5,Kansas,Penn,76,60
1,6,SetonHall,NCState,94,83
1,7,Houston,SDiegoSt,67,65
1,8,Michigan,Montana,61,47
1,9,Tenn,WrightSt,73,47
1,10,Miami,LoyolaChicago,62,64
1,11,TexasTech,SFAustin,70,60
1,12,Florida,StBonnie,77,62
1,13,Gonzaga,UNC_Greensboro,68,64
1,14,OhioSt,SDakotaSt,81,73
1,15,Kentucky,Davidson,78,73
1,16,Buffalo,Arizona,89,68
1,17,TexasA&M,Providence,73,69
1,18,UNC,Lipscomb,84,66
1,19,Creighton,KansasSt,59,69
1,20,Virginia,UMBC,74,54
1,21,Purdue,CSFullerton,74,48
1,22,Arkansas,Butler,62,79
1,23,MichSt,Bucknell,82,78
1,24,TCU,Syracuse,52,57
1,25,Cinci,GeorgiaSt,68,53
1,26,Nevada,Texas,87,83
1,27,Xavier,TexSthrn,102,83
1,28,Missouri,FloridaSt,54,67
1,29,WichSt,Marshall,75,81
1,30,WestVa,MurraySt,85,68
1,31,Auburn,Charleston,62,58
1,32,Clemson,NewMexSt,79,68
2,33,Villanova,Alabama,81,58
2,34,Duke,RhodeIsd,87,62
2,35,Kentucky,Buffalo,95,75
2,36,Tenn,LoyolaChicago,62,63
2,37,Kansas,SetonHall,83,79
2,38,Gonzaga,OhioSt,90,84
2,39,TexasTech,Florida,69,66
2,40,Michigan,Houston,64,63
2,41,Purdue,Butler,76,73
2,42,MichSt,Syracuse,53,55
2,43,UNC,TexasA&M,65,86
2,44,Auburn,Clemson,53,84
2,45,KansasSt,UMBC,50,43
2,46,Xavier,FloridaSt,70,75
2,47,WestVa,Marshall,94,71
2,48,Cinci,Nevada,73,75
3,49,Nevada,LoyolaChi,68,69
3,50,Michigan,TexasA&M,99,72
3,51,Kentucky,KansasSt,58,61
3,52,Gonzaga,FloridaSt,60,75
3,53,Kansas,Clemson,80,76
3,54,Villanova,WestVa,90,78
3,55,Duke,Syracuse,69,65
3,56,Purdue,TexasTech,65,78
4,57,---,---,0,0
4,58,---,---,0,0
4,59,---,---,0,0
4,60,---,---,0,0
5,61,---,---,0,0
5,62,---,---,0,0
6,63,---,---,0,0
